Objeto,Nobjeto,Posicao,Iluminacao,Ambiente,Fundo,Trasnformacao,Nome
celular,1,1,dia,exterior,2,log,celular_obj1_p1_de_f2_log.png
celular,1,1,dia,exterior,2,identity,celular_obj1_p1_de_f2_identity.png
celular,1,1,dia,exterior,2,exp,celular_obj1_p1_de_f2_exp.png
celular,1,1,dia,exterior,2,convolution,celular_obj1_p1_de_f2_convolution.png
celular,1,1,dia,exterior,2,gradient,celular_obj1_p1_de_f2_gradient.png
celular,1,1,noite,interior,2,identity,celular_obj1_p1_ni_f2_identity.png
celular,1,1,noite,interior,2,log,celular_obj1_p1_ni_f2_log.png
celular,1,1,noite,interior,2,convolution,celular_obj1_p1_ni_f2_convolution.png
celular,1,1,noite,interior,2,gradient,celular_obj1_p1_ni_f2_gradient.png
celular,1,1,noite,interior,2,exp,celular_obj1_p1_ni_f2_exp.png
celular,1,1,noite,interior,1,identity,celular_obj1_p1_ni_f1_identity.png
celular,1,1,noite,interior,1,log,celular_obj1_p1_ni_f1_log.png
celular,1,1,noite,interior,1,convolution,celular_obj1_p1_ni_f1_convolution.png
celular,1,1,noite,interior,1,exp,celular_obj1_p1_ni_f1_exp.png
celular,1,1,noite,interior,3,identity,celular_obj1_p1_ni_f3_identity.png
celular,1,1,noite,interior,1,gradient,celular_obj1_p1_ni_f1_gradient.png
celular,1,1,noite,interior,3,log,celular_obj1_p1_ni_f3_log.png
celular,1,1,noite,interior,3,convolution,celular_obj1_p1_ni_f3_convolution.png
celular,1,1,noite,interior,3,exp,celular_obj1_p1_ni_f3_exp.png
celular,1,1,noite,exterior,3,identity,celular_obj1_p1_ne_f3_identity.png
celular,1,1,noite,interior,3,gradient,celular_obj1_p1_ni_f3_gradient.png
celular,1,1,noite,exterior,3,log,celular_obj1_p1_ne_f3_log.png
celular,1,1,noite,exterior,3,convolution,celular_obj1_p1_ne_f3_convolution.png
celular,1,1,noite,exterior,3,exp,celular_obj1_p1_ne_f3_exp.png
celular,1,1,noite,exterior,3,gradient,celular_obj1_p1_ne_f3_gradient.png
celular,1,1,noite,exterior,2,identity,celular_obj1_p1_ne_f2_identity.png
celular,1,1,noite,exterior,2,log,celular_obj1_p1_ne_f2_log.png
celular,1,1,noite,exterior,2,convolution,celular_obj1_p1_ne_f2_convolution.png
celular,1,1,noite,exterior,2,exp,celular_obj1_p1_ne_f2_exp.png
celular,1,1,noite,exterior,2,gradient,celular_obj1_p1_ne_f2_gradient.png
celular,1,1,dia,exterior,1,identity,celular_obj1_p1_de_f1_identity.png
celular,1,1,dia,exterior,1,log,celular_obj1_p1_de_f1_log.png
celular,1,1,dia,exterior,1,exp,celular_obj1_p1_de_f1_exp.png
celular,1,1,dia,exterior,1,convolution,celular_obj1_p1_de_f1_convolution.png
celular,1,1,dia,exterior,1,gradient,celular_obj1_p1_de_f1_gradient.png
celular,1,1,noite,exterior,1,identity,celular_obj1_p1_ne_f1_identity.png
celular,1,1,noite,exterior,1,log,celular_obj1_p1_ne_f1_log.png
celular,1,1,noite,exterior,1,exp,celular_obj1_p1_ne_f1_exp.png
celular,1,1,noite,exterior,1,convolution,celular_obj1_p1_ne_f1_convolution.png
celular,1,1,noite,exterior,1,gradient,celular_obj1_p1_ne_f1_gradient.png
celular,1,1,dia,interior,2,identity,celular_obj1_p1_di_f2_identity.png
celular,1,1,dia,interior,2,log,celular_obj1_p1_di_f2_log.png
celular,1,1,dia,interior,2,convolution,celular_obj1_p1_di_f2_convolution.png
celular,1,1,dia,interior,2,exp,celular_obj1_p1_di_f2_exp.png
celular,1,1,dia,exterior,3,identity,celular_obj1_p1_de_f3_identity.png
celular,1,1,dia,interior,2,gradient,celular_obj1_p1_di_f2_gradient.png
celular,1,1,dia,exterior,3,log,celular_obj1_p1_de_f3_log.png
celular,1,1,dia,exterior,3,exp,celular_obj1_p1_de_f3_exp.png
celular,1,1,dia,exterior,3,convolution,celular_obj1_p1_de_f3_convolution.png
celular,1,1,dia,exterior,3,gradient,celular_obj1_p1_de_f3_gradient.png
celular,1,2,dia,exterior,1,identity,celular_obj1_p2_de_f1_identity.png
celular,1,2,dia,exterior,1,log,celular_obj1_p2_de_f1_log.png
celular,1,2,dia,exterior,1,exp,celular_obj1_p2_de_f1_exp.png
celular,1,2,dia,exterior,1,convolution,celular_obj1_p2_de_f1_convolution.png
celular,1,2,dia,exterior,1,gradient,celular_obj1_p2_de_f1_gradient.png
celular,1,1,dia,interior,3,identity,celular_obj1_p1_di_f3_identity.png
celular,1,1,dia,interior,3,log,celular_obj1_p1_di_f3_log.png
celular,1,1,dia,interior,3,convolution,celular_obj1_p1_di_f3_convolution.png
